#separator:comma
#html:true
#deck column:1
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>1, 4, 9, 16, 25, (.....)<br><br>(a) 35<br>(b) 36<br>(c) 48<br>(d) 49",b
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>20, 19, 17, (.....), 10, 5<br><br>(a) 12<br>(b) 13<br>(c) 14<br>(d) 15",c
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>2, 3, 5, 7, 11, (.....), 17<br><br>(a) 12<br>(b) 13<br>(c) 14<br>(d) 15",b
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>6, 11, 21, 36, 56, (.....)<br><br>(a) 42<br>(b) 51<br>(c) 81<br>(d) 91",c
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>1, 6, 13, 22, 33, (.....)<br><br>(a) 44<br>(b) 45<br>(c) 46<br>(d) 47",c
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>3, 9, 27, 81, (.....)<br><br>(a) 324<br>(b) 243<br>(c) 210<br>(d) 162",b
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>1, 9, 17, 33, 49, 73, (.....)<br><br>(a) 97<br>(b) 98<br>(c) 99<br>(d) 100",a
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>2, 5, 9, (.....), 20, 27<br><br>(a) 14<br>(b) 16<br>(c) 18<br>(d) 24",a
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>5, 9, 17, 29, 45, (.....)<br><br>(a) 60<br>(b) 65<br>(c) 68<br>(d) 70",b
Series Completion::NUMBER SERIES::Completing the Given Series,"Directions : In each of the following questions, a number series is given with one term missing. Choose the correct alternative that will continue the same pattern and fill in the blank spaces.<br><br>3, 7, 15, 31, 63, (.....)<br><br>(a) 92<br>(b) 115<br>(c) 127<br>(d) 131",c
