44, 96, 95, 22
31, 99, 77, 22
30, 66, 86, 43
10, 85, 79, 24

88, 99, 77, 33
76, 87, 65, 22
68, 99, 77, 33
57, 68, 89, 42

96, 00, 01, 99
86, 34, 24, 69
68, 21, 22, 86
56, 00, 22, 59

96, 66, 88, 98
95, 12, 67, 98
76, 21, 59, 89
59, 99, 21, 77

12, 22, 14, 69
12, 14, 96, 41
22, 41, 21, 96
41, 12, 14, 96

33, 85, 88, 86
21, 76, 77, 76
14, 67, 66, 67
02, 56, 55, 59

43, 42, 41, 78, 89
31, 34, 23, 76, 79
24, 31, 10, 59, 57
12, 20, 40, 68, 65

31, 32, 33, 82
24, 19, 21, 78
12, 10, 13, 67
00, 04, 02, 56

79, 53, 20, 87
65, 56, 13, 57
57, 56, 01, 59
29, 85, 34, 93

88, 30, 85, 86
75, 22, 76, 79
69, 67, 68, 59
29, 85, 34, 93

88, 30, 85, 86
75, 22, 76, 79
69, 67, 68, 59
58, 02, 68, 65

41, 66, 23, 55
32, 75, 44, 76
23, 57, 30, 68
14, 89, 12, 78

43, 21, 97, 33
11, 21, 79, 41
34, 44, 66, 14
20, 30, 89, 23

11, 68, 42, 69
21, 95, 33, 97
34, 68, 10, 88
34, 86, 44, 78

57, 12, 31, 56
57, 21, 23, 79
66, 44, 42, 96
75, 30, 31, 87

68, 21, 58, 34
77, 44, 76, 33
86, 21, 67, 12
95, 30, 80, 20

01, 61, 73, 36
08, 61, 55, 44
34, 33, 50, 17
73, 33, 61, 17

32, 05, 25, 44
32, 05, 87, 96
35, 23, 26, 33
83, 65, 25, 44

20, 10, 71, 22
24, 10, 26, 48
34, 35, 63, 03

62, 25, 57, 95

32, 14, 56, 44
35, 14, 37, 78
83, 63, 40, 59
83, 71, 25, 36

14, 34, 88, 95
63, 44, 88, 03
79, 09, 61, 41
97, 34, 62, 95
